Episode #,State,Action,Reward,Next State,Terminated
1,"(array([-0.51391256,  0.        ], dtype=float32), {})",1,-1.0,[-5.139852e-01 -7.263622e-05],0
1,[-5.139852e-01 -7.263622e-05],1,-1.0,[-5.1412994e-01 -1.4472789e-04],0
1,[-5.1412994e-01 -1.4472789e-04],1,-1.0,[-5.1434571e-01 -2.1573454e-04],0
1,[-5.1434571e-01 -2.1573454e-04],1,-1.0,[-5.1463079e-01 -2.8512385e-04],0
1,[-5.1463079e-01 -2.8512385e-04],1,-1.0,[-5.149832e-01 -3.523755e-04],0
1,[-5.149832e-01 -3.523755e-04],1,-1.0,[-5.1540017e-01 -4.1698525e-04],0
1,[-5.1540017e-01 -4.1698525e-04],1,-1.0,[-5.1587862e-01 -4.7846863e-04],0
1,[-5.1587862e-01 -4.7846863e-04],1,-1.0,[-0.516415   -0.00053636],0
1,[-0.516415   -0.00053636],1,-1.0,[-0.51700526 -0.00059024],0
1,[-0.51700526 -0.00059024],1,-1.0,[-0.51764494 -0.00063969],0
1,[-0.51764494 -0.00063969],1,-1.0,[-0.51832926 -0.00068434],0
1,[-0.51832926 -0.00068434],1,-1.0,[-0.5190531  -0.00072386],0
1,[-0.5190531  -0.00072386],1,-1.0,[-0.5198111  -0.00075795],0
1,[-0.5198111  -0.00075795],1,-1.0,[-0.52059746 -0.00078636],0
1,[-0.52059746 -0.00078636],1,-1.0,[-0.5214063  -0.00080887],0
1,[-0.5214063  -0.00080887],1,-1.0,[-0.5222316  -0.00082531],0
1,[-0.5222316  -0.00082531],1,-1.0,[-0.5230672  -0.00083556],0
1,[-0.5230672  -0.00083556],1,-1.0,[-0.5239067  -0.00083955],0
1,[-0.5239067  -0.00083955],1,-1.0,[-0.524744   -0.00083724],0
1,[-0.524744   -0.00083724],1,-1.0,[-0.5255726  -0.00082865],0
1,[-0.5255726  -0.00082865],1,-1.0,[-0.52638644 -0.00081385],0
1,[-0.52638644 -0.00081385],1,-1.0,[-0.5271794  -0.00079294],0
1,[-0.5271794  -0.00079294],1,-1.0,[-0.5279455  -0.00076609],0
1,[-0.5279455  -0.00076609],1,-1.0,[-0.52867895 -0.00073349],0
1,[-0.52867895 -0.00073349],1,-1.0,[-0.52937436 -0.00069539],0
1,[-0.52937436 -0.00069539],1,-1.0,[-0.53002644 -0.00065207],0
1,[-0.53002644 -0.00065207],1,-1.0,[-0.5306303  -0.00060387],0
1,[-0.5306303  -0.00060387],1,-1.0,[-0.53118145 -0.00055114],0
1,[-0.53118145 -0.00055114],1,-1.0,[-5.316757e-01 -4.942707e-04],0
1,[-5.316757e-01 -4.942707e-04],1,-1.0,[-5.3210944e-01 -4.3369958e-04],0
1,[-5.3210944e-01 -4.3369958e-04],1,-1.0,[-5.3247929e-01 -3.6987674e-04],0
1,[-5.3247929e-01 -3.6987674e-04],1,-1.0,[-5.3278255e-01 -3.0328077e-04],0
1,[-5.3278255e-01 -3.0328077e-04],1,-1.0,[-5.3301698e-01 -2.3441104e-04],0
1,[-5.3301698e-01 -2.3441104e-04],1,-1.0,[-5.331808e-01 -1.637839e-04],0
1,[-5.331808e-01 -1.637839e-04],1,-1.0,[-5.332727e-01 -9.192889e-05],0
1,[-5.332727e-01 -9.192889e-05],1,-1.0,[-5.3329206e-01 -1.9384690e-05],0
1,[-5.3329206e-01 -1.9384690e-05],1,-1.0,[-5.3323877e-01  5.3304830e-05],0
1,[-5.3323877e-01  5.3304830e-05],1,-1.0,[-5.3311318e-01  1.2559473e-04],0
1,[-5.3311318e-01  1.2559473e-04],1,-1.0,[-5.3291625e-01  1.9694306e-04],0
1,[-5.3291625e-01  1.9694306e-04],1,-1.0,[-5.3264940e-01  2.6681492e-04],0
1,[-5.3264940e-01  2.6681492e-04],1,-1.0,[-5.323147e-01  3.346864e-04],0
1,[-5.323147e-01  3.346864e-04],1,-1.0,[-5.3191471e-01  4.0004865e-04],0
1,[-5.3191471e-01  4.0004865e-04],1,-1.0,[-5.314523e-01  4.624115e-04],0
1,[-5.314523e-01  4.624115e-04],1,-1.0,[-5.309310e-01  5.213073e-04],0
1,[-5.309310e-01  5.213073e-04],1,-1.0,[-0.5303547   0.00057629],0
1,[-0.5303547   0.00057629],1,-1.0,[-0.5297277   0.00062696],0
1,[-0.5297277   0.00062696],1,-1.0,[-0.52905476  0.00067292],0
1,[-0.52905476  0.00067292],1,-1.0,[-0.52834094  0.00071384],0
1,[-0.52834094  0.00071384],1,-1.0,[-0.5275915   0.00074941],0
1,[-0.5275915   0.00074941],1,-1.0,[-0.5268122   0.00077935],0
1,[-0.5268122   0.00077935],1,-1.0,[-0.5260087   0.00080345],0
